Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades:   Personas

	Total																									Hombres																									Mujeres																									
	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
16 Cuenca	196.139	196.329	197.222	198.718	201.071	203.841	207.449	211.899	218.036	219.138	217.716	217.363	215.274	211.375	208.616	207.974	204.546	202.982	201.614	201.526	201.053	200.963	199.086	""	201.712	98.430	98.542	98.999	99.821	101.097	102.583	104.586	107.111	110.460	111.052	110.384	110.282	109.058	106.633	105.068	104.912	102.947	102.040	101.048	100.630	100.126	100.088	99.031	""	100.387	97.709	97.787	98.223	98.897	99.974	101.258	102.863	104.788	107.576	108.086	107.332	107.081	106.216	104.742	103.548	103.062	101.599	100.942	100.566	100.896	100.927	100.875	100.055	""	101.325	
20 Gipuzkoa	727.121	723.576	720.592	719.282	717.832	716.834	715.148	713.818	712.097	709.607	707.263	705.698	701.056	694.944	691.895	688.708	686.513	684.416	682.977	680.069	679.370	677.275	676.439	""	676.208	355.130	353.363	351.696	351.262	350.998	350.799	350.014	349.551	348.655	347.653	347.027	346.820	344.679	341.400	340.051	338.605	337.552	336.409	335.670	334.011	333.502	332.698	331.804	""	331.900	371.991	370.213	368.896	368.020	366.834	366.035	365.134	364.267	363.442	361.954	360.236	358.878	356.377	353.544	351.844	350.103	348.961	348.007	347.307	346.058	345.868	344.577	344.635	""	344.308	
17 Girona	781.788	771.044	761.947	755.716	753.576	753.054	756.156	761.632	761.627	756.810	753.046	747.782	731.864	706.185	687.331	664.506	636.198	619.692	598.112	579.650	565.599	553.348	543.191	""	530.631	391.183	385.298	380.690	377.615	376.943	376.936	379.175	382.685	383.428	381.448	380.773	379.629	372.266	358.108	348.922	336.206	320.098	311.514	299.657	289.317	281.460	274.866	269.400	""	262.542	390.605	385.746	381.257	378.101	376.633	376.118	376.981	378.947	378.199	375.362	372.273	368.153	359.598	348.077	338.409	328.300	316.100	308.178	298.455	290.333	284.139	278.482	273.791	""	268.089	
18 Granada	919.168	914.678	912.075	912.938	915.392	917.297	919.455	919.319	922.928	924.550	918.072	907.428	901.220	884.099	876.184	860.898	841.687	828.107	818.959	812.637	809.004	813.061	801.177	""	808.053	452.595	450.555	449.318	449.821	451.148	451.907	453.407	453.670	456.216	457.084	453.734	448.784	447.280	437.782	433.320	424.718	414.472	407.293	402.121	398.272	395.659	397.751	391.867	""	395.509	466.573	464.123	462.757	463.117	464.244	465.390	466.048	465.649	466.712	467.466	464.338	458.644	453.940	446.317	442.864	436.180	427.215	420.814	416.838	414.365	413.345	415.310	409.310	""	412.544	
19 Guadalajara	261.995	257.762	254.308	253.310	252.882	253.686	255.426	257.723	259.537	256.461	251.563	246.151	237.787	224.076	213.505	203.737	193.913	185.474	177.761	171.532	165.347	161.669	159.331	""	157.255	132.839	130.534	128.854	128.341	128.265	128.952	130.197	131.796	133.009	131.532	129.170	126.608	122.327	114.798	109.054	104.082	98.911	94.421	90.208	86.761	83.488	81.594	80.464	""	79.412	129.156	127.228	125.454	124.969	124.617	124.734	125.229	125.927	126.528	124.929	122.393	119.543	115.460	109.278	104.451	99.655	95.002	91.053	87.553	84.771	81.859	80.075	78.867	""	77.843	
21 Huelva	524.278	521.870	519.932	518.930	519.596	520.017	519.229	520.668	522.862	521.968	518.081	513.403	507.915	497.671	492.174	483.792	476.707	472.446	464.934	461.730	458.998	457.507	453.958	""	454.735	259.496	258.413	257.713	257.613	257.571	257.699	257.542	258.387	259.370	259.362	257.716	255.144	252.394	248.151	246.056	241.142	237.146	234.902	230.999	228.771	227.014	226.227	224.433	""	224.776	264.782	263.457	262.219	261.317	262.025	262.318	261.687	262.281	263.492	262.606	260.365	258.259	255.521	249.520	246.118	242.650	239.561	237.544	233.935	232.959	231.984	231.280	229.525	""	229.959	
22 Huesca	222.687	220.461	219.345	219.702	221.079	222.909	224.909	226.329	227.609	228.361	228.566	228.409	225.271	220.107	218.023	215.864	212.901	211.286	208.963	205.955	205.430	205.429	204.956	""	206.916	112.479	111.228	110.599	110.854	111.597	112.626	113.840	114.781	115.512	116.224	116.524	116.630	114.939	111.978	110.983	109.869	107.961	106.962	105.566	103.711	103.220	103.135	102.854	""	103.976	110.208	109.233	108.746	108.848	109.482	110.283	111.069	111.548	112.097	112.137	112.042	111.779	110.332	108.129	107.040	105.995	104.940	104.324	103.397	102.244	102.210	102.294	102.102	""	102.940	
23 Jaén	631.381	633.564	638.099	643.484	648.250	654.170	659.033	664.916	670.242	670.600	670.761	669.782	667.438	664.742	662.751	660.284	654.458	651.565	647.387	645.781	645.711	649.662	645.792	""	648.551	312.364	313.356	315.549	318.430	320.862	323.861	326.583	330.505	334.226	333.384	332.900	332.517	332.568	330.543	329.496	328.041	324.877	323.089	320.575	319.613	319.203	321.263	319.272	""	319.859	319.017	320.208	322.550	325.054	327.388	330.309	332.450	334.411	336.016	337.216	337.861	337.265	334.870	334.199	333.255	332.243	329.581	328.476	326.812	326.168	326.508	328.399	326.520	""	328.692	
24 León	456.439	460.001	463.746	468.316	473.604	479.395	484.694	489.752	494.451	497.799	499.284	500.169	500.200	497.387	498.223	495.902	492.720	495.998	496.655	499.517	502.155	506.511	506.365	""	517.191	221.904	223.744	225.646	228.059	230.727	233.664	236.537	239.179	241.749	243.316	244.199	244.716	244.786	242.939	243.051	241.756	240.342	242.106	242.409	243.846	245.282	247.677	247.569	""	253.256	234.535	236.257	238.100	240.257	242.877	245.731	248.157	250.573	252.702	254.483	255.085	255.453	255.414	254.448	255.172	254.146	252.378	253.892	254.246	255.671	256.873	258.834	258.796	""	263.935	
25 Lleida	438.517	434.930	432.866	432.384	434.041	436.029	438.001	440.915	443.032	442.308	439.768	436.402	426.872	414.015	407.496	399.439	385.092	377.639	371.055	365.023	361.590	359.361	357.903	""	356.456	223.323	220.878	219.509	219.059	219.917	220.719	221.891	223.779	225.345	225.388	224.397	223.095	218.379	211.268	208.332	203.618	194.378	189.998	186.026	182.362	180.132	179.089	178.152	""	177.372	215.194	214.052	213.357	213.325	214.124	215.310	216.110	217.136	217.687	216.920	215.371	213.307	208.493	202.747	199.164	195.821	190.714	187.641	185.029	182.661	181.458	180.272	179.751	""	179.084	
